"bundle id","bundle title","tag"
"2090","Friday Special Bundle #56",NULL
"2095","Monday Motivation #32",NULL
"2101","Painkiller Bundle",NULL
"2103","Indie Gala Magicka",NULL
"2104","Hump Day Bundle #45","group buy"
"2111"," The Anime Treasure Bundle",NULL
"2115","Indie Gala 4",NULL
"2116","Indie Gala 5",NULL
"2117","Indie Gala 6",NULL
"2118","Indie Gala 7",NULL
"2128","Indie Gala 11",NULL
"2132","Indie Gala Flash",NULL
"2133","Indie Gala Dwarves",NULL
"2134","Indie Gala Mass Effect",NULL
"2139","The Warhammer Alliance Bundle","group buy"
"2150","The Indie Delirium Bundle",NULL
"2156","Virtual Reality XIV Bundle","group buy"
"2163","Flashpoint Bundle",NULL
"2164","Every Monday Bundle #27",NULL
"2165","Every Monday Bundle #26",NULL
"2166","Every Monday Bundle #24",NULL
"2167","Every Monday #23",NULL
"2168","Every Monday #22",NULL
"2169","Every Monday Bundle #21",NULL
"2170","Every Monday Bundle #20",NULL
"2171","Every Monday Bundle #19",NULL
"2172","Every Monday #18",NULL
"2173","Every Monday #17",NULL
"2174","Every Monday #16",NULL
"2175","Every Monday #15",NULL
"2176","Every Monday #14",NULL
"2177","Every Monday #12",NULL
"2178","Every Monday #11",NULL
"2179","Every Monday #10",NULL
"2180","Every Monday #9",NULL
"2181","Every Monday #8",NULL
"2182","Every Monday #7",NULL
"2183","Every Monday #6",NULL
"2184","Every Monday #5",NULL
"2185","Every Monday #4",NULL
"2186","Every Monday #3",NULL
"2187","Every Monday #2",NULL
"2188","Every Monday #1",NULL
"2189","Monday Motivation Bundle #33","group buy"
"2190","Summertide",NULL
"2198","The Indie Armada Bundle",NULL
"2202","Friday Special Bundle #57",NULL
"2209","The Indie Blaster Bundle",NULL
"2211","Hump Day Bundle #46","group buy"
"2214","The Indie Shockwave Bundle","group buy"
"2218","Monday Motivation #34","group buy"
"2222","The Indie Mayhem Bundle","group buy"
"2224","Virtual Reality XV Bundle","group buy"
"2232","The Doorways to Halloween Bundle","group buy"
"2242","Anime Wonderland Bundle","group buy"
"2277","Friday Special Bundle #58","group buy"
"2295","The Leadership Bundle",NULL
"2327","Theatre of War Bundle",NULL
"2330","Indie Gala Sigma",NULL
"2376","Monday Motivation Bundle #35","group buy"
"2383","The Indie Gala October",NULL
"2384","Halloween Mix",NULL
"2385","The IndieGala DIRT Bundle",NULL
"2386","CodeMasters Bundle",NULL
"2387","Limited Bundle",NULL
"2388","Space Engineers",NULL
"2483","Indie Gala Mobile",NULL
"2484","Indie Gala Mobile 2",NULL
"2485","Indie Gala January",NULL
"2486","Fire &amp; Sword Bundle",NULL
"2487","StressTest Bundle",NULL
"2488","Interstellar Bundle",NULL
"2489","Hump Day Bundle #47","group buy"
"2491","Indie Gala Weekly",NULL
"2492","Rise of Flight Bundle",NULL
"2493","Indie Gala Weekly 2",NULL
"2494","Indie Gala Weekly 3",NULL
"2495","Indie Gala Tropico",NULL
"2496","Indie Gala Dungeons",NULL
"2497","Supreme Bundle",NULL
"2498","Mysterious Bundle",NULL
"2499","Indie Gala Magicka++",NULL
"2500","Indie Gala Red Faction",NULL
"2538","Indie Gala Mobile 3",NULL
"2539","The Indie Genesis Bundle","group buy"
"2540","Tiny Mix Bundle",NULL
"2541","Blood Knight Bundle",NULL
"2542","Indie Encore Bundle",NULL
"2543","Indie Gala Greenlight Bundle 3",NULL
"2544","Breath of Wind Bundle",NULL
"2545","July Madness Bundle",NULL
"2546","August Heat Bundle",NULL
