id,sku,type
1072,70110,Game
1073,294770,Game
1074,294790,Game
1075,214830,Game
1076,42140,Game
1077,222160,Game
1078,41100,Game
1079,98400,Game
1080,98421,dlc
1081,286810,Game
1082,285500,Game
1083,287020,Game
1084,260550,Game
1085,46730,Game
1086,297120,Game
1087,305980,Game
1088,302950,Game
1089,305490,Game
1090,259320,Game
1091,18470,Game
1092,306950,Game
1093,314470,Game
1094,4800,Game
1095,15170,Game
1096,15380,Game
1097,15370,Game
1098,291190,Game
1099,259550,Game
1100,269210,Game
1101,265890,Game
1102,209850,Game
1103,236660,dlc
1104,6850,Game
1105,203140,Game
1106,6860,Game
1107,6900,Game
1108,247430,Game
1109,63000,Game
1110,261720,Game
1111,267980,Game
1112,288750,Game
1113,286500,Game
1114,302120,Game
1115,250400,Game
1116,271640,Game
1117,261740,Game
1118,22450,Game
1119,246740,Game
1120,267960,Game
1121,302460,Game
1122,218660,Game
1123,248710,Game
1124,45410,Game
1125,245390,Game
1126,283490,Game
1127,15320,Game
1128,334710,Game
1129,277450,Game
1130,23400,Game
1131,283390,Game
1132,230150,Game
1133,295610,Game
1134,221340,Game
1135,226700,Game
1136,269990,Game
1137,246980,Game
1138,242700,Game
1139,110400,Game
1140,241620,Game
1141,205730,Game
1142,16710,Game
1143,333120,Game
1144,237760,Game
1145,299500,Game
1146,278910,Game
1147,236370,Game
1148,242520,dlc
1149,266050,Game
1150,214970,Game
1151,212410,Game
1152,41730,Game
1153,31700,Game
1154,224900,Game
1155,234880,dlc
1156,234860,dlc
1157,296180,Game
1158,311980,Game
1159,12340,Game
1160,236970,Game
1161,253960,Game
1162,7110,Game
1163,57740,Game
1164,205810,Game
1165,283270,Game
1166,94200,Game
1167,250260,Game
1168,274880,Game
1169,314250,Game
1170,262260,Game
1171,205950,Game
1172,242110,Game
1173,6400,Game
1174,58200,Game
1175,6880,Game
1176,8190,Game
1177,233230,Game
1178,65080,Game
1179,217270,Game
1180,317950,Game
1181,255370,Game
1182,301360,Game
1183,35420,Mod
1184,293940,Game
1185,3170,Game
1186,63910,Game
1187,25900,Game
1188,203350,Game
1189,219830,Game
1190,24470,Game
1191,285350,Game
1192,102500,Game
1193,276440,Game
1194,227180,Game
1195,253900,Game
1196,254060,Game
1197,289360,Game
1198,289380,Game
1199,42170,Game
1200,280500,Game
1201,270330,Game
1202,212030,Game
1203,110800,Game
1204,230700,Game
1205,278570,Game
1206,35130,Game
1207,11340,Game
1208,266230,Game
1209,262210,Game
1210,224300,Game
1211,224920,Game
1212,224940,Game
1213,16730,Game
1214,207170,Game
1215,234980,Game
1216,301220,Game
1217,213330,Game
1218,21000,Game
1219,21130,Game
1220,204120,Game
1221,214510,Game
1222,249130,Game
1223,231910,Game
1224,293300,Game
1225,202270,Game
1226,306680,Game
1227,34500,Game
1228,266490,Game
1229,208982,dlc
1230,283430,Game
1231,15960,Game
1232,262690,Game
1233,224040,Game
1234,308360,Game
1235,7260,Game
1236,308330,Game
1237,264580,Game
1238,291430,Game
1239,45750,Game
1240,226720,Game
1241,298600,Game
1242,61100,Game
1243,218640,Game
1244,105100,Game
1245,331400,Game
1246,208600,Game
1247,233510,Game
1248,234350,Game
1249,60340,Game
1250,205830,Game
1251,269150,Game
1252,43500,Game
1253,58230,Game
1254,40700,Game
1255,50130,Game
1256,211340,Game
1257,284180,Game
1258,73035,dlc
1259,73037,dlc
1260,73091,dlc
1261,73031,dlc
1262,73054,dlc
1263,73036,dlc
1264,73030,dlc
1265,247580,Game
1266,209630,Game
1267,73020,Game
1268,25990,Game
1269,73230,Game
1270,6250,Game
1271,46770,Game
1272,63630,Game
1273,302250,Game
1274,289600,Game
1275,260190,Game
1276,283370,Game
1277,249680,Game
1278,232750,Game
1279,18480,Game
